Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-02-08,73027.5,74111.57894736843,72534.73684210527,73914.47368421053,20810708
2024-02-13,74111.5703125,74111.5703125,73323.14935172872,73717.35983211437,21966745
2024-02-14,72928.9375,73224.59535472972,72633.27964527026,72633.27964527026,12434945
2024-02-15,72140.5234375,73323.1549692623,71943.41818220628,73126.04971396858,14120600
2024-02-16,71746.3046875,72337.6203854739,71450.64683851304,72239.06776914491,13444781
2024-02-19,72731.828125,72830.3807376355,71746.301998645,71746.301998645,12726404
2024-02-20,72239.0703125,72633.28079169508,71746.30721350614,72633.28079169508,14681477
2024-02-21,71943.4140625,72633.28241652397,71844.86144049658,72337.6245505137,11503495
2024-02-22,72041.96875,72830.389748632,71647.758250684,72731.83712380301,15208934
2024-02-23,71844.8515625,73126.03547239369,71844.8515625,72534.71982167353,16225166
2024-02-26,71746.3046875,72140.51515281593,71154.9889895261,71253.54160585508,14669352
2024-02-27,71844.8515625,72337.6146047668,71647.74634559327,72041.95677940673,13201981
2024-02-28,72140.5234375,72830.39183102801,71746.31292691256,71844.86555455942,11795859
2024-02-29,72337.625,72337.625,70957.88828337875,71549.20401907357,21176403
2024-03-04,73815.9140625,73914.46668474632,72928.94046228305,73224.59832902203,23210474
2024-03-05,72633.28125,73717.36007462686,72633.28125,73520.25483378561,19505125
2024-03-06,71844.8515625,72436.16721322016,71647.74634559327,72140.50938786009,21547905
2024-03-07,71155.0,72239.07894736843,71155.0,72041.97368421053,14516963
2024-03-08,72239.0703125,72337.62293229876,71549.2019739086,71746.30721350614,19271349
2024-03-11,71352.09375,72041.96205973758,71253.54113432321,71844.85682838398,9740504
2024-03-12,72239.0703125,72436.17555209754,71056.43887491473,71549.2019739086,13011654
2024-03-13,73027.5,73027.5,72436.18421052632,72633.28947368421,15243134
2024-03-14,73224.59375,73421.69898216688,72534.72543741588,73323.14636608344,22545539
2024-03-15,71253.546875,72633.28360563624,71253.546875,72337.62573478562,22580555
2024-03-18,71746.3046875,71943.40992015797,71450.64683851304,71549.19945484203,11520348
2024-03-19,71746.3046875,71943.40992015797,70662.22590788118,71253.54160585508,15376066
2024-03-20,75786.9609375,76082.61878250976,72337.61941238622,72633.27725739597,50106297
2024-03-21,78152.21875,78152.21875,76575.37700977302,78053.66614123581,44569799
2024-03-22,77758.0234375,78743.54971680926,76673.94453025982,78447.89183301647,26724761
2024-03-25,77068.1484375,78644.9903492647,76673.93795955883,78447.88511029411,18703996
2024-03-26,78743.546875,78940.65212374843,78053.67850438047,78546.44162625156,30551494
2024-03-27,78644.9921875,78842.0974310777,78053.67645676692,78053.67645676692,17424595
2024-03-28,79992.390625,80190.39159189357,78408.38288985149,78606.38385674506,25084812
2024-03-29,81576.3984375,81675.39892104066,80091.39118439017,80388.39263501213,27126366
2024-04-01,81180.3984375,82467.40475419207,81180.3984375,82368.40426829268,20116513
2024-04-02,84150.4140625,84150.4140625,82071.40383272059,82071.40383272059,37077944
2024-04-03,83259.40625,84150.41059750297,82665.40335166469,83457.40721611177,30493347
2024-04-04,84447.40625,84645.40720252051,83457.40148739742,84348.40577373974,25248934
2024-04-05,83655.40625,84150.40865384616,82962.40288461538,83655.40625,18883752
2024-04-08,83655.40625,85140.41346153847,83655.40625,84348.40961538462,18953232
2024-04-09,82764.40625,84051.41256728469,82269.40382027513,83655.4106235048,23725956
2024-04-11,83259.40625,83853.40914833531,81675.39852110582,82368.40190249702,25538009
2024-04-12,82863.40625,84051.41207437275,82368.40382317801,83853.41110364396,17061770
2024-04-15,81378.390625,82368.39537712895,80388.38587287105,82071.39395149027,26663772
2024-04-16,79200.390625,80487.39697265625,78606.3876953125,80388.396484375,31949845
2024-04-17,78111.3828125,79992.39203105196,78111.3828125,79893.39154586502,22611631
2024-04-18,78804.3828125,79299.38521710112,77517.37656053706,78012.3789651382,21370190
2024-04-19,76824.375,77913.38031572165,75537.36871778351,77517.37838273196,31317563
2024-04-22,75339.3671875,76725.37394259198,74349.36236243429,76626.37346008541,30469477
2024-04-23,74745.359375,76032.36556291391,74745.359375,75636.36365894039,18717699
2024-04-24,77814.375,78012.37595419848,76428.36832061068,76725.3697519084,22166150
2024-04-25,75537.3671875,76725.3729624017,75537.3671875,76527.37199991809,15549134
2024-04-26,75933.3671875,77121.37293228488,75735.36623003586,77022.3724535528,12755629
2024-04-29,75933.3671875,76824.37149608866,75438.36479383963,76626.37053862451,14664474
2024-04-30,76725.375,77715.37983870968,75834.37064516128,76230.37258064515,19007007
2024-05-02,77220.375,77814.37788461539,76527.37163461538,76824.37307692308,18900640
2024-05-03,76824.375,78210.38176546391,76725.37451675258,78210.38176546391,13151889
2024-05-07,80487.390625,80487.390625,78606.38149600246,78804.38245694956,26238868
2024-05-08,80487.390625,80586.39110547355,79695.38678121156,79992.38822263222,13089576
2024-05-09,78903.3828125,80685.39145820263,78903.3828125,80289.38953693538,18759935
2024-05-10,78408.3828125,80289.39199613321,78111.38136245265,79596.38861268939,16976124
2024-05-13,77616.375,79101.3821747449,76824.3711734694,78606.37978316327,18652344
2024-05-14,77517.375,78012.37739463602,77121.37308429119,77814.3764367816,11763992
2024-05-16,77418.3828125,79497.39309263107,77319.38232296995,79398.39260310102,20989778
2024-05-17,76626.3671875,78012.37382913438,76428.36623869509,77814.37288032947,15918201
2024-05-20,78111.3828125,78309.38378287389,77121.37796063055,77319.37893100444,19456783
2024-05-21,77616.375,78210.37786989796,77418.37404336735,77715.37547831633,13690583
2024-05-22,76923.375,77913.37982625482,76527.37306949806,77319.37693050192,19521506
2024-05-23,77517.375,78309.37883141762,76329.36925287356,76923.37212643678,18728087
2024-05-24,75141.3671875,76230.37250905797,74943.366219944,76032.37154150197,27891278
2024-05-27,76428.375,77418.37985751296,73260.35945595855,74547.36577072539,43825202
2024-05-28,76824.375,77220.37693298969,75438.36823453609,75735.36968427835,18539072
2024-05-29,74448.3671875,77418.3818359375,74448.3671875,76923.37939453125,30244875
2024-05-30,72765.3515625,74448.35969387756,72765.3515625,74052.35778061225,28551273
2024-05-31,72765.3515625,73953.35730229592,72765.3515625,73755.35634566327,26198776
2024-06-03,74943.3671875,75636.370582893,73458.35991165787,73656.36088177015,15706268
2024-06-04,74547.359375,75339.36319306109,74151.35746596946,74151.35746596946,14098053
2024-06-05,76626.3671875,77220.37003391473,76032.36434108528,77220.37003391473,23177968
2024-06-07,76527.3671875,77814.37336271022,76329.36623746766,77616.37241267788,21189349
2024-06-10,74943.3671875,75834.37155300529,74844.36670244386,75339.36912772457,14598755
2024-06-11,74448.3671875,75240.37109375,74349.36669921875,75141.37060546875,16971175
2024-06-12,75735.3671875,76329.37006740196,74448.36094771241,74547.36142769607,19246725
2024-06-13,77814.375,78210.37690839694,77022.37118320611,77616.37404580152,33763804
